Year,Month,Day,Temp at Recording,Dew Point / Frost Point,Wet Bulb Temp,Surface Temperature,Temperature Range,Temp Max,Temp Min,Specific Humidity,Relative Humidity,Precipitation
1983,11,1,6.45,1.79,4.12,6.58,15.98,15.06,-0.92,4.39,74.19,0.01
1983,11,2,10.95,8.05,9.5,10.84,11.23,17.76,6.52,6.77,83.25,4.1
1983,11,3,7.71,6.45,7.08,7.76,10.34,11.16,0.82,6.23,91.81,9.6
1983,11,4,1.03,-0.44,0.3,1.4,4.09,3.94,-0.15,3.72,90.38,2.23
1983,11,5,2.1,-0.44,0.83,1.6,6.96,6.4,-0.56,3.78,84.94,1.05
1983,11,6,2.94,1.73,2.33,3.31,5.15,5.83,0.68,4.39,92.12,0.61
1983,11,7,4.73,2.29,3.51,4.01,9.73,10.18,0.45,4.52,85.69,0.04
1983,11,8,5.47,2.98,4.23,5.55,12.88,12.3,-0.59,4.76,83.19,0.01
1983,11,9,8.93,4.9,6.91,8.58,11.27,16.11,4.83,5.49,76.88,2.14
1983,11,10,7.69,5.97,6.83,7.67,5.9,11.29,5.4,5.92,89.19,17.51
1983,11,11,4.78,4.04,4.4,4.98,7.83,8.08,0.25,5.31,94.88,10.97
1983,11,12,-1.67,-4.41,-3.03,-1.09,5.11,-0.2,-5.3,2.81,82.19,2.72
1983,11,13,-2.97,-6.03,-4.5,-2.93,7.95,2.16,-5.79,2.38,82,0.04
1983,11,14,-1.27,-4.24,-2.75,-1.06,7.66,3.3,-4.37,2.81,82.5,2.06
1983,11,15,0.32,-0.12,0.1,0.56,4.82,2.77,-2.04,3.85,96.62,8.23
1983,11,16,2.37,1.58,1.98,2.39,5.41,6.1,0.69,4.39,94.62,4.22
1983,11,17,-0.2,-1.61,-0.91,0.06,2.27,1.23,-1.05,3.48,90.38,4.01
1983,11,18,-0.63,-3.84,-2.24,-1.19,5.25,2.45,-2.8,2.87,79.69,0.18
1983,11,19,1.98,-0.75,0.62,1.58,10.25,7.59,-2.66,3.72,83.81,1.4
1983,11,20,9.05,7.44,8.24,8.8,9.26,13.04,3.78,6.65,90.19,8.1
1983,11,21,8.26,4.14,6.2,8,7.12,12.16,5.05,5.31,76.81,5.37
1983,11,22,5.24,2.55,3.9,5.09,8.8,8.79,-0.01,4.64,83.12,0
1983,11,23,3.64,1.23,2.44,3.23,7.27,6.82,-0.45,4.21,84.44,0.25
1983,11,24,6.97,5.88,6.42,6.8,7.79,10.37,2.58,5.98,92.69,9.08
1983,11,25,0.13,-1.85,-0.86,0.41,2.17,1.65,-0.52,3.42,86.56,6.06
1983,11,26,2.35,0.38,1.37,2.39,6.05,5.5,-0.56,4.03,86.94,0.15
1983,11,27,-0.46,-3.7,-2.08,-0.55,6.29,3.01,-3.27,2.93,80.56,0.04
1983,11,28,-0.18,-1.67,-0.92,0.05,5.09,3.07,-2.02,3.42,89.94,11.19
1983,11,29,2.29,0.35,1.32,2,5.04,5.15,0.11,4.03,87.06,5.27
1983,11,30,-0.55,-3.67,-2.11,-0.37,3.85,0.98,-2.88,2.93,79.69,1.57
1983,12,1,-1.88,-4.97,-3.43,-1.65,4.55,0.91,-3.64,2.62,80.25,1.07
1983,12,2,-1.63,-3.69,-2.66,-1.47,4.06,0.52,-3.54,2.93,87.06,1.78
1983,12,3,-2.7,-5.06,-3.88,-2.92,5.74,0.15,-5.6,2.62,85.75,0.87
1983,12,4,-2.35,-3.65,-3,-2.31,4.12,-0.72,-4.85,2.93,92.12,11.59
1983,12,5,-0.4,-0.94,-0.67,-0.67,6.02,2.61,-3.4,3.6,96.75,4.3
1983,12,6,1.23,0.84,1.04,1.14,2.77,2.63,-0.14,4.15,97.19,7.79
1983,12,7,-3.1,-5.42,-4.26,-3.13,6.46,1.37,-5.1,2.62,85.31,5.35
1983,12,8,-4.02,-7.58,-5.8,-4.16,4.34,-1.64,-5.98,2.14,77.75,0.92
1983,12,9,-1.82,-3.57,-2.7,-2.04,3.62,-0.6,-4.23,2.93,88.75,0.81
1983,12,10,-1.42,-2.61,-2.01,-1.6,6.91,1.87,-5.03,3.17,92.75,0.14
1983,12,11,-5.29,-7.73,-6.51,-5.64,8.55,-1.52,-10.09,2.14,84.94,1.71
1983,12,12,-0.36,-1.13,-0.74,-0.84,5.21,2.06,-3.15,3.6,95.19,27.96
1983,12,13,0.49,0.34,0.41,0.41,0.62,0.83,0.21,3.97,98.69,37.96
1983,12,14,0.83,0.72,0.77,0.72,2.61,2.39,-0.22,4.09,98.94,3.04
1983,12,15,1.58,0.76,1.16,1.33,6.49,5.1,-1.39,4.15,94.25,0.85
