,Unnamed: 0,Temp at Recording,Dew Point / Frost Point,Wet Bulb Temp,Surface Temperature,Temperature Range,Temp Max,Temp Min,Specific Humidity,Relative Humidity,Precipitation,Date,Matched_Street,Pavement_rating,Miles,Shape__Length,SentimentScore,SeverityLevel,Potholes_Count,Rating,Minutes_to_closed
0,0,-1.47,-2.75,-2.11,-2.31,6.93,1.36,-5.56,3.11,91.81,3.64,2021-01-01,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
1,1,-0.13,-0.99,-0.56,-0.69,3.46,1.43,-2.03,3.6,94.19,12.18,2021-01-02,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
2,2,-1.77,-2.63,-2.2,-2.29,8.39,2.19,-6.2,3.17,94.38,4.11,2021-01-03,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
3,3,-0.82,-1.18,-1.0,-1.2,3.41,1.37,-2.04,3.54,97.81,1.28,2021-01-04,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
4,4,-1.35,-2.11,-1.74,-2.06,5.1,1.4,-3.7,3.3,95.81,0.36,2021-01-05,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
5,5,-2.61,-3.72,-3.17,-2.81,4.12,-0.2,-4.34,2.87,93.94,0.07,2021-01-06,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
6,6,-3.59,-5.44,-4.52,-3.64,4.84,-0.77,-5.62,2.5,89.0,0.02,2021-01-07,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
7,7,-6.86,-8.26,-7.56,-7.34,6.33,-3.67,-9.99,2.01,92.56,0.12,2021-01-08,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
8,8,-6.1,-7.8,-6.95,-6.99,10.93,-0.92,-11.84,2.14,89.94,0.01,2021-01-09,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
9,9,-3.49,-5.09,-4.28,-4.42,6.31,0.36,-5.95,2.56,91.0,0.04,2021-01-10,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
10,10,-2.51,-3.43,-2.97,-2.86,6.59,1.32,-5.27,2.99,95.06,0.33,2021-01-11,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
11,11,-2.52,-3.71,-3.12,-2.78,4.78,-0.02,-4.81,2.87,93.25,0.41,2021-01-12,None,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0
