OBJECTID,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,CITYST_,CITYST_ID,FNODE_1,TNODE_1,LPOLY_1,RPOLY_1,CITYST2_,CITYST2_ID,LTYPE,GDT_ID2,GDT_,RECNUM,L_F_ADD,L_T_ADD,R_F_ADD,R_T_ADD,PREFIX,NAME,TYPE,SUFFIX,CFCC,TRACT90_L,TRACT90_R,BLOCK90_L,BLOCK90_R,L_F_IADD,L_T_IADD,R_F_IADD,R_T_IADD,FIPMCD90_L,FIPMCD90_R,FIPPLC90_L,FIPPLC90_R,FULLNAME,PAVE2,ST_FLAG,LINECODE,BLKSTREET,BG_L,BG_R,CTBNABG_L,CTBNABG_R,CITYST_I_1,BLK,Department,ProjectYear,ProjectType,Status,GlobalID,CreationDate,Creator,EditDate,Editor,StartDate,EndDate
448,332,299,136,160,297.146,448,801,332,299,0,0,801,11673,1,12580545,18844,12580545,1701,1799,1700,1798, ,TEALL,AVE, ,A40,0009,0009,406,104,0,0,0,0,73000,73000,73000,73000,TEALL AV,0,1,15, 1700 TEALL AV,4,1,00094,00091,801,1700,StreetRepair,2021,Road Recon: Teall from James to Grant,Planned,1adb35f1-d4b6-4ee1-aa60-ebabbec61c12,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:05:34.844+00,jbailey_syr,,
464,343,332,180,160,80.2584,464,478,343,332,0,0,478,11740,1,12580539,18850,12580539,1699,1699,1698,1698, ,TEALL,AVE, ,A40,0009,0009,405,104,0,0,0,0,73000,73000,73000,73000,TEALL AV,0,1,15, 1600 TEALL AV,4,1,00094,00091,478,1600,StreetRepair,2021,Road Recon: Teall from James to Grant,Planned,cb676067-1fb9-40b6-8e85-c670f3238aff,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:05:46.346+00,jbailey_syr,,
549,394,343,180,188,332.915,549,800,394,343,0,0,800,11888,1,12580537,18882,12580537,1601,1697,1600,1696, ,TEALL,AVE, ,A40,0009,0009,405,105,0,0,0,0,73000,73000,73000,73000,TEALL AV,0,1,15, 1600 TEALL AV,4,1,00094,00091,800,1600,StreetRepair,2021,Road Recon: Teall from James to Grant,Planned,de10600f-fe56-4c6a-8d91-c56f224d7a04,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:06:03.520+00,jbailey_syr,,
556,398,389,217,174,173.333,556,1554,398,389,0,0,1554,11866,1,12575231,18782,12575231,1801,1899,1800,1898,N,SALINA,ST, ,A40,0005,0002,213,513,0,0,0,0,73000,73000,73000,73000,N SALINA ST,0,1,15, 1800 N SALINA ST,2,5,00052,00025,1554,1800,StreetRepair,2021,Road Recon: N Salina from Hiawatha to Court,Planned,da3dece2-08fc-4572-958a-fcf860f1b748,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:12:37.545+00,jbailey_syr,,
584,416,398,217,183,346.12,584,1555,416,398,0,0,1555,11940,1,12575234,18087,12575234,1701,1799,1700,1798,N,SALINA,ST, ,A40,0005,0002,213,512,0,0,0,0,73000,73000,73000,73000,N SALINA ST,0,1,15, 1700 N SALINA ST,2,5,00052,00025,1555,1700,StreetRepair,2021,Road Recon: N Salina from Hiawatha to Court,Planned,15d0b6a8-85b1-43f3-9d4e-25a483fbc7dd,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:12:28.434+00,jbailey_syr,,
607,431,394,180,219,294.33,607,799,431,394,0,0,799,12000,1,12580536,18897,12580536,1501,1599,1500,1598, ,TEALL,AVE, ,A40,0009,0009,405,107,0,0,0,0,73000,73000,73000,73000,TEALL AV,0,1,15, 1500 TEALL AV,4,1,00094,00091,799,1500,StreetRepair,2021,Road Recon: Teall from James to Grant,Planned,5a7471d0-e12c-45e0-a6a6-a389e5f97fe0,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:06:12.762+00,jbailey_syr,,
645,452,431,240,219,116.332,645,797,452,431,0,0,797,12059,1,12580517,18912,12580517,1499,1499,1498,1498, ,TEALL,AVE, ,A40,0009,0009,404,107,0,0,0,0,73000,73000,73000,73000,TEALL AV,0,1,15, 1400 TEALL AV,4,1,00094,00091,797,1400,StreetRepair,2021,Road Recon: Teall from James to Grant,Planned,ee3d88f2-3283-437c-abc3-ac07abdfcf93,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:06:29.243+00,jbailey_syr,,
648,454,416,231,199,478.18,648,1543,454,416,0,0,1543,12041,1,12575200,18089,12575200,1601,1699,1600,1698,N,SALINA,ST, ,A40,0005,0002,212,511,0,0,0,0,73000,73000,73000,73000,N SALINA ST,0,1,15, 1600 N SALINA ST,2,5,00052,00025,1543,1600,StreetRepair,2021,Road Recon: N Salina from Hiawatha to Court,Planned,d38edf24-27e8-42b7-8e71-0a00e2643321,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:12:19.834+00,jbailey_syr,,
705,490,454,257,226,478.464,705,1542,490,454,0,0,1542,12165,1,12575221,18091,12575221,1501,1599,1500,1598,N,SALINA,ST, ,A40,0005,0002,211,510,0,0,0,0,73000,73000,73000,73000,N SALINA ST,0,1,15, 1500 N SALINA ST,2,5,00052,00025,1542,1500,StreetRepair,2021,Road Recon: N Salina from Hiawatha to Court,Planned,36adc858-b83f-4f7b-b66f-7b2887a0fc3d,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:12:11.913+00,jbailey_syr,,
745,520,452,240,255,428.785,745,1058,520,452,0,0,1058,12265,1,12580516,18957,12580516,1401,1497,1400,1496, ,TEALL,AVE, ,A40,0009,0009,404,108,0,0,0,0,73000,73000,73000,73000,TEALL AV,0,1,15, 1400 TEALL AV,4,1,00094,00091,1058,1400,StreetRepair,2021,Road Recon: Teall from James to Grant,Planned,45bd6b81-9283-42b7-9e84-e07cbf7bcdc3,2020/03/05 04:00:16.555+00,samedelstein,2021/04/02 14:06:44.560+00,jbailey_syr,,
