OBJECTID,BPID,STREET_NAME,FROM_STREET,TO_STREET,BLOCK,WARD,WIDTH,Rating_2022,RatingCategory,FC,CollectionDate,Miles,Shape__Length
1,SYR10,Academy Place,Brooklea Dr.,Norman Av.,300,13,28,8,Good,19,2022/07/20 19:27:57+00,0.0712272470225042,157.082416093765
2,SYR100,Arlington Ave.,Charmouth,Glenwood,300,13,36,5,Poor,19,2022/08/15 17:29:24+00,0.0932664206167723,205.778288037439
3,SYR1000,"Division St., E.",Carbon,Spring,800,3,33,10,Excellent,19,2022/08/16 18:12:03+00,0.059043702918774,130.25892351002
4,SYR1002,Doll Pkwy,Carlton,Demong,100,17,22,9,Excellent,19,2022/08/17 14:08:39+00,0.197650355136807,435.867041734209
5,SYR1004,Dorchester Ave,Wheaton,Gray,100,4,27,5,Poor,19,2022/08/03 19:20:52+00,0.0876816573454699,193.535863944615
6,SYR1005,Dorchester Ave,Gray,Fordham,200,4,27,5,Poor,19,2022/08/03 19:20:52+00,0.134382443959597,296.734514630553
7,SYR1006,Dorothy St,Sedgwick,Vine,100,6,27,7,Good,19,2022/08/01 18:37:41+00,0.155555291082911,342.581410402502
8,SYR1007,Dorothy St,Vine,Wilson,200,6,27,7,Good,19,2022/08/01 18:37:41+00,0.117607049006457,259.021506608095
9,SYR1008,Dorset Rd,Berkely,Stratford,100,16,24,5,Poor,19,2022/08/24 14:27:16+00,0.16785547764855,369.547821865225
10,SYR1009,Dorwin Ave,S. Salina,Ida Ave,100,14,27,7,Good,17,2022/07/20 19:27:57+00,0.167653667621639,368.371257342357
11,SYR101,Armstrong Pl.,South,Mitchell,100200,13,27,6,Fair,19,2022/08/15 17:51:02+00,0.25727972406067,565.565581372318
12,SYR1010,Dorwin Ave.,Ida Ave,bridge,200,14,27,7,Good,17,2022/07/20 19:27:57+00,0.169241772290864,371.860124369124
13,SYR1011,Dorwin Ave.,bridge,Valley Dr.,300,13,27,8,Good,17,2022/07/20 19:27:57+00,0.24086092953544,529.229790695431
14,SYR1012,Dougall Ave,Colvin,Elk,100,19,25,6,Fair,19,2022/08/18 14:00:38+00,0.111743837755136,246.220875000837
15,SYR1013,Douglas St,Lodi,Rosewood,100,6,27,3,Poor,19,2022/07/19 19:38:44+00,0.0823841188822355,181.434108440433
16,SYR1014,Douglas St,Rosewood,Highland,200,6,27,4,Poor,19,2022/07/19 19:38:44+00,0.0996507430050616,219.455584783081
17,SYR1015,Douglas St,Highland,Graves,300,6,27,7,Good,19,2022/07/19 19:38:44+00,0.127644152173738,281.11319395856
18,SYR1016,Douglas St,Graves,Oak,400,4,27,3,Poor,19,2022/07/19 19:38:44+00,0.171369525001478,377.411608126038
19,SYR1017,Driscoll Ave,Avery,Hayden,100,7,25,6,Fair,19,2022/07/14 16:15:58+00,0.0527577210131927,116.13224244621
20,SYR1018,Driscoll Ave,Hayden,Myrtle,200,7,0,5,Poor,19,2022/07/14 16:15:58+00,0.0565665105320402,124.519084647118
21,SYR1020,Duane St,Bellevue,Grant Av,100,11,28,9,Excellent,19,2022/07/14 19:27:17+00,0.0663980940209955,146.524349556527
22,SYR1021,Duane St,Grant Av,Laforte,200,11,0,9,Excellent,19,2022/07/14 19:27:17+00,0.0629255092390973,138.859447893503
23,SYR1022,Duane St,Laforte,Stolp,300,11,0,7,Good,19,2022/07/14 19:27:17+00,0.0614394069282807,135.577536423893
24,SYR1023,Dudley St,Delaware,Fitch,100,10,34,5,Poor,19,2022/08/08 16:22:55+00,0.0623438960036519,137.487444412645
25,SYR1024,Dudley St.,Fitch,Putnam,200,11,34,6,Fair,19,2022/08/08 16:23:25+00,0.0623738844109856,137.551341078765
26,SYR1025,Dudley St.,Putnam,Elliot,300,11,34,6,Fair,19,2022/08/08 16:23:25+00,0.0290892557673202,64.1586689110659
27,SYR1026,Dudley St.,Elliot,Onondaga,400,11,34,7,Good,19,2022/08/08 16:23:25+00,0.0639712158244927,141.174501243543
28,SYR1027,Dudley St.,Onondaga,Bellevue,500,11,34,4,Poor,19,2022/08/08 16:24:25+00,0.0747803295297779,165.025463545782
29,SYR1028,Dundee Dr,Ethel,Glenwood,100,11,25,7,Good,19,2022/07/14 16:15:57+00,0.127551838484012,281.441177121802
