FID,BPID,STREET_NAM,FROM_STREE,TO_STREET,BLOCK,WARD,WIDTH,Rating2023,RatingCate,FC,CreationDa,Miles,Shape__Length
1,SYR1496,Glenwood Ave.,Velasko,Dundee,1400,11,25,10,Excellent,17,8/22/2023 12:00:00 AM,0.084427939575,185.751118062017
2,SYR1497,Glenwood Ave.,Dundee,Austin,1500,11,25,10,Excellent,17,8/22/2023 12:00:00 AM,0.0730634211108,160.741383399057
3,SYR2454,Monticello Dr S,Phelps Pl.,dead end,200,14,26,8,Good,19,8/21/2023 12:00:00 AM,0.157035434716,345.864143856411
4,SYR1498,Glenwood Ave.,Austin,Sunhill Terr.,1600,11,25,10,Excellent,17,8/22/2023 12:00:00 AM,0.0573141853043,126.096774013687
5,SYR2455,Mooney Ave.,Teall,Hixson,100,5,25,7,Good,19,7/11/2023 12:00:00 AM,0.123750838733,272.250430975119
6,SYR1499,Glenwood Ave.,Sunhill Terr.,Archer,1700,11,25,10,Excellent,17,8/22/2023 12:00:00 AM,0.0673484727056,148.289239366506
7,SYR2456,Mooney Ave.,Hixson,dead end,200,5,25,7,Good,19,7/11/2023 12:00:00 AM,0.0869384037526,191.264039926057
8,SYR15,Ackerman Ave.,Euclid,Stratford,800,16,27,9,Excellent,19,8/2/2023 12:00:00 AM,0.159657522816,352.343565335057
9,SYR2952,"Salina St., S.",Ostrander,Matson,3500,14,40,9,Excellent,16,8/2/2023 12:00:00 AM,0.068717673427,151.555161534004
10,SYR2457,Moore Ave,Colvin,Michaels,100,19,25,9,Excellent,19,8/14/2023 12:00:00 AM,0.0616712163471,136.079791224888
11,SYR150,"Avery Ave., N.",W. Genesee,Erie St.,600,7,36,8,Good,17,7/12/2023 12:00:00 AM,0.0758876911225,167.390621558914
12,SYR2458,Moore Ave,Michaels Cir,Smith La,200,19,25,9,Excellent,19,8/14/2023 12:00:00 AM,0.312707969279,689.564094387652
13,SYR2953,"Salina St., S.",Matson,Hall,3600,14,40,9,Excellent,16,8/2/2023 12:00:00 AM,0.0629792555824,138.931470279116
14,SYR1500,Glenwood Ave.,Archer,Bellevue,1800,11,25,10,Excellent,17,8/22/2023 12:00:00 AM,0.167552561547,368.841488513992
15,SYR2459,Morey Ave,Coral Ave,dead end,100,13,18,7,Good,19,8/22/2023 12:00:00 AM,0.035923546413,78.9819364352304
16,SYR2954,"Salina St., S.",Hall,Belle,3700,14,40,9,Excellent,16,8/2/2023 12:00:00 AM,0.0611712737053,134.942303497568
17,SYR1501,Goodrich Ave,Vincent,Thurber,100,19,25,6,Fair,19,8/14/2023 12:00:00 AM,0.158460364019,349.605876750838
18,SYR246,Beech St. S,Madison,Cherry,500,17,24,5,Poor,19,7/25/2023 12:00:00 AM,0.153627933282,338.598543138977
19,SYR2955,"Salina St., S.",Belle,Ballantyne,3800,14,40,8,Good,16,8/2/2023 12:00:00 AM,0.0587967840415,129.70157433969
20,SYR1502,Goodrich Ave,Thurber,Holmes,200,19,25,6,Fair,19,8/14/2023 12:00:00 AM,0.148117735128,326.785655528046
21,SYR2460,Morgan Ave,Avery,City Line,100,7,24,10,Excellent,19,8/21/2023 12:00:00 AM,0.0870414333266,191.60989345936
22,SYR2956,"Salina St., S.",Ballantyne,Filmore,3900,14,40,7,Good,16,8/2/2023 12:00:00 AM,0.0691295146101,152.487490582545
23,SYR1503,Goodrich Ave,Holmes,Thayer,300,19,25,6,Fair,19,8/14/2023 12:00:00 AM,0.108638254448,239.677402247777
